dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
aloi,test,0.001,ann-faiss,"{}_[160, 320, 2048, 10]",0.14936817737090205,2865.1212,0.24809501171112064,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 320, 2048, 50]",0.14509280946557482,4769.0423,0.3646023750305175,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 320, 4096, 1]",0.32184865069095586,4445.7229,0.22562766075134277,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 320, 4096, 5]",0.17798242635772224,4540.6132,0.24768044948577878,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 320, 4096, 10]",0.15389093988891767,4658.2385,0.26684021949768066,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 320, 4096, 50]",0.14634876926615484,5592.863,0.34852633476257316,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 32, 1]",0.16491880455700123,3925.6977,0.48565084934234626,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 32, 5]",0.1042728812540548,16538.8492,0.8922985315322874,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 32, 10]",0.10374856297820181,31456.6267,1.453483963012695,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 32, 50]",0.1023417521541742,88672.0,3.943145561218261,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 64, 1]",0.17047299330748497,2334.9877,0.4404712915420532,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 64, 5]",0.10496185097577718,8788.7687,0.6962239742279053,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 64, 10]",0.1035621055824093,16563.3548,0.9933571100234987,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 64, 50]",0.10298700708098939,72570.8987,3.8950475454330444,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 128, 1]",0.16506394665857066,1638.1797,0.39879369735717773,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 128, 5]",0.1080946608350786,4992.1225,0.5224765777587892,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 128, 10]",0.1035558616915665,8960.7003,0.6606348991394044,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 128, 50]",0.10160257799758599,37577.3737,1.9583412408828735,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 256, 1]",0.16074889503698958,1347.8494,0.377683138847351,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 256, 5]",0.10762734063847872,3120.134,0.44838328361511237,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 256, 10]",0.10324241994779047,5228.8621,0.5315258264541625,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 256, 50]",0.10278993023143816,20743.7271,1.172945690155029,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 512, 1]",0.15662358243184643,1377.1222,0.3401047468185424,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 512, 5]",0.10854065087744896,2261.7507,0.3838643789291381,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 512, 10]",0.1035834042143745,3329.8592,0.4258381366729737,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 512, 50]",0.10191769691983545,11333.8974,0.7582001924514772,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 1024, 1]",0.1623668539412802,1771.4497,0.3207440137863159,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 1024, 5]",0.11002094734600296,2189.015,0.35578563213348396,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 1024, 10]",0.10506027956259638,2700.4816,0.3758581638336181,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 1024, 50]",0.10233913762385678,6637.0269,0.5707024335861206,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 2048, 1]",0.19681183528652402,2743.5974,0.3287680149078369,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 2048, 5]",0.11393012043983027,2939.247,0.3593085289001464,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 2048, 10]",0.10573530577514505,3185.1212,0.3726124286651612,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 2048, 50]",0.10248998086010097,5089.0423,0.4845330238342286,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 4096, 1]",0.25366419352460395,4765.7229,0.3556250095367431,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 4096, 5]",0.12951592596803946,4860.6132,0.3689812183380126,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 4096, 10]",0.11049310001371467,4978.2385,0.3842680931091308,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 640, 4096, 50]",0.10205315787743922,5912.863,0.4635630369186402,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 32, 1]",0.12554081959369998,4565.6977,0.7697304725646974,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 32, 5]",0.07399770790712369,17178.8492,1.171484613418579,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 32, 10]",0.07322645931299215,32096.6267,1.7079446554183957,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 32, 50]",0.07200482116447707,89312.0,4.150173687934875,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 64, 1]",0.12445918695743084,2974.9877,0.7111760377883911,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 64, 5]",0.0751061446384429,9428.7687,0.9622370243072511,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 64, 10]",0.0725733762309997,17203.3548,1.244741940498352,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 64, 50]",0.07208748475520228,73210.8987,4.127929353713989,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 128, 1]",0.12111242714329265,2278.1797,0.6767582178115846,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 128, 5]",0.07503951030570104,5632.1225,0.7898256301879881,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 128, 10]",0.07225581918950225,9600.7003,0.9069633722305299,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 128, 50]",0.07200104671236283,38217.3737,2.203364086151123,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 256, 1]",0.12202974926958841,1987.8494,0.6573760032653808,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 256, 5]",0.07661989954649356,3760.134,0.7088923454284668,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 256, 10]",0.07402622448865584,5868.8621,0.770839762687683,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 256, 50]",0.07358946790773885,21383.7271,1.4291382551193235,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 512, 1]",0.11365645298677834,2017.1222,0.6185451984405519,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 512, 5]",0.07723580028181674,2901.7507,0.6397370815277099,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 512, 10]",0.07452679981995795,3969.8592,0.6669149398803711,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 512, 50]",0.07245354976056456,11973.8974,0.9902323246002196,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 1024, 1]",0.12232636858637844,2411.4497,0.5945680379867555,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 1024, 5]",0.07770974246237167,2829.015,0.6155558586120604,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 1024, 10]",0.07505281045218483,3340.4816,0.6192665338516237,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 1024, 50]",0.07154274332526736,7277.0269,0.7941032409667967,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 2048, 1]",0.1580566654275824,3383.5974,0.5945872306823732,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 2048, 5]",0.08209504739397455,3579.247,0.5984452486038208,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 2048, 10]",0.07608270224498352,3825.1212,0.593354368209839,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 2048, 50]",0.0726996967066422,5729.0423,0.6937545299530028,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 4096, 1]",0.18757197350776958,5405.7229,0.6180781841278076,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 4096, 5]",0.09151257620601273,5500.6132,0.628719162940979,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 4096, 10]",0.07773090715317546,5618.2385,0.6086009740829468,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 1280, 4096, 50]",0.07205616680495984,6552.863,0.6917794942855835,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 32, 1]",0.09449539375616044,5845.6977,1.2815238714218142,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 32, 5]",0.05256915497833022,18458.8492,1.615142440795899,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 32, 10]",0.05106268701076174,33376.6267,2.133245778083801,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 32, 50]",0.050896401905885215,90592.0,4.552128481864928,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 64, 1]",0.09354793390755835,4254.9877,1.2242600679397584,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 64, 5]",0.052783607314739925,10708.7687,1.4149103164672852,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 64, 10]",0.051522598827157505,18483.3548,1.6981279134750369,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 64, 50]",0.05073812267196991,74490.8987,4.607104229927062,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 128, 1]",0.09476924419972116,3558.1797,1.2113846778869628,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 128, 5]",0.05457139525286374,6912.1225,1.2538819313049316,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 128, 10]",0.051533936344862696,10880.7003,1.3502644538879391,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 128, 50]",0.05101873543308096,39497.3737,2.719598269462586,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 256, 1]",0.0895542809142572,3267.8494,1.154819130897522,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 256, 5]",0.05481863224425276,5040.134,1.1567363023757937,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 256, 10]",0.05195470153713661,7148.8621,1.1747666835784911,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 256, 50]",0.05097561038258635,22663.7271,1.85089967250824,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 512, 1]",0.08855668751834268,3297.1222,1.1102519512176516,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 512, 5]",0.054026172857350126,4181.7507,1.0745714664459227,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 512, 10]",0.05234755146044295,5249.8592,1.0730098247528075,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 512, 50]",0.050926497428259804,13253.8974,1.4157115936279294,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 1024, 1]",0.08871718737927888,3691.4497,1.0986972332000735,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 1024, 5]",0.05527289858921292,4109.015,1.0527721881866456,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 1024, 10]",0.05331299113989478,4620.4816,1.016736626625061,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 1024, 50]",0.05082021004693172,8557.0269,1.2004864931106565,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 2048, 1]",0.10735356255276633,4663.5974,1.1194154500961306,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 2048, 5]",0.05884826944221393,4859.247,1.0914626121520996,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 2048, 10]",0.053670782345577685,5105.1212,1.0562669754028318,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 2048, 50]",0.05060492850308015,7009.0423,1.1647940874099731,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 4096, 1]",0.1318323275331119,6685.7229,1.1350101470947267,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 4096, 5]",0.06570329407847371,6780.6132,1.0622565984725953,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 4096, 10]",0.05485440614493114,6898.2385,1.025039529800415,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[160, 2560, 4096, 50]",0.05120460202572003,7832.863,1.1080811262130739,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 32, 1]",0.5845019965168905,3285.6977,0.2569910049438477,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 32, 5]",0.507881457149689,15898.8492,0.7107324123382567,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 32, 10]",0.5053921658642736,30816.6267,1.309014916419983,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 32, 50]",0.5051211827277908,88032.0,3.8673198223114014,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 64, 1]",0.5964210569233513,1694.9877,0.19065623283386227,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 64, 5]",0.5100617259272969,8148.7687,0.4697103738784791,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 64, 10]",0.505786535643286,15923.3548,0.8018522262573242,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 64, 50]",0.5051211827660347,71930.8987,3.7879580020904546,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 128, 1]",0.6041189393276534,998.1797,0.1412381410598755,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 128, 5]",0.5134022655809037,4352.1225,0.2974621057510376,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 128, 10]",0.5068809069884488,8320.7003,0.4610471963882447,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 128, 50]",0.505122897724047,36937.3737,1.824614262580872,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 256, 1]",0.6156692651789861,707.8494,0.10806143283843994,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 256, 5]",0.5163760267479395,2480.134,0.20625627040863037,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 256, 10]",0.5080449403091123,4588.8621,0.29728345870971673,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 256, 50]",0.5051420483027351,20103.7271,0.9681531667709352,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 512, 1]",0.6435437829637304,737.1222,0.08288536071777344,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 512, 5]",0.5217925810869909,1621.7507,0.1542852878570557,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 512, 10]",0.5101288337225076,2689.8592,0.20660102367401123,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 512, 50]",0.5052175429720339,10693.8974,0.5596771001815795,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 1024, 1]",0.6898353544807814,1131.4497,0.06851327419281006,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 1024, 5]",0.5342012660254689,1549.015,0.1277420997619629,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 1024, 10]",0.5139406607811334,2060.4816,0.16076867580413817,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 1024, 50]",0.5053792735412354,5997.0269,0.35636868476867684,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 2048, 1]",0.7432226810083351,2103.5974,0.07241792678833006,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 2048, 5]",0.5750320529555674,2299.247,0.11007049083709715,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 2048, 10]",0.5232237565494345,2545.1212,0.1445260763168335,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 2048, 50]",0.5056750239492892,4449.0423,0.2695188522338867,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 4096, 1]",0.803132759637384,4125.7229,0.09193911552429197,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 4096, 5]",0.6418122010794375,4220.6132,0.11128644943237306,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 4096, 10]",0.5675415276631655,4338.2385,0.1409074068069458,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 0, 4096, 50]",0.5063662098905852,5272.863,0.2490675210952759,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 32, 1]",0.6683619904869184,3295.6977,0.26173143386840814,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 32, 5]",0.5394689757016636,15908.8492,0.7166106224060057,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 32, 10]",0.5344095596629731,30826.6267,1.3180832386016843,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 32, 50]",0.5198777101063297,88042.0,3.8816939830780024,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 64, 1]",0.6771229621485813,1704.9877,0.1947692155838013,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 64, 5]",0.5309004990164855,8158.7687,0.4718529701232911,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 64, 10]",0.5331841500313591,15933.3548,0.8034208297729495,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 64, 50]",0.5307872315352673,71940.8987,3.7678021907806403,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 128, 1]",0.6594125524383649,1008.1797,0.14553754329681395,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 128, 5]",0.5437894380948585,4362.1225,0.30120165348052985,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 128, 10]",0.5306974497388385,8330.7003,0.4634111642837525,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 128, 50]",0.5238504213736487,36947.3737,1.8269561529159546,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 256, 1]",0.6746997934374678,717.8494,0.11319360733032229,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 256, 5]",0.5258104713643655,2490.134,0.21192896366119385,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 256, 10]",0.5250468307686212,4598.8621,0.30343806743621826,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 256, 50]",0.535855733392897,20113.7271,0.9776956558227538,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 512, 1]",0.7035029159146283,747.1222,0.08774030208587646,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 512, 5]",0.5620931282658252,1631.7507,0.15944011211395265,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 512, 10]",0.5286334314897636,2699.8592,0.2110702514648438,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 512, 50]",0.5463615575853614,10703.8974,0.5662386178970336,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 1024, 1]",0.7884144700097596,1141.4497,0.07300522327423095,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 1024, 5]",0.5751435470532202,1559.015,0.1328897476196289,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 1024, 10]",0.5395759269675838,2070.4816,0.1653695821762085,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 1024, 50]",0.5293623540952019,6007.0269,0.36341528892517083,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 2048, 1]",0.8855591449074218,2113.5974,0.0764335870742798,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 2048, 5]",0.6383660946975301,2309.247,0.11520876884460447,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 2048, 10]",0.5480410787016342,2555.1212,0.1490992069244385,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 2048, 50]",0.53775347566127,4459.0423,0.2730910301208497,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 4096, 1]",1.0381846996094688,4135.7229,0.09810111522674562,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 4096, 5]",0.71985546910728,4230.6132,0.11793415546417238,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 4096, 10]",0.6198721062697741,4348.2385,0.1477747678756714,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 10, 4096, 50]",0.5342311197992867,5282.863,0.2547297716140747,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 32, 1]",0.531604895711153,3305.6977,0.26457960605621345,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 32, 5]",0.4211339617415044,15918.8492,0.7129730224609376,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 32, 10]",0.42043686637060473,30836.6267,1.3063138484954835,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 32, 50]",0.4109042314508966,88052.0,3.843578386306762,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 64, 1]",0.5374048768634725,1714.9877,0.1983909130096436,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 64, 5]",0.4073702109328599,8168.7687,0.47688164710998543,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 64, 10]",0.41215839796380194,15943.3548,0.8078801870346071,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 64, 50]",0.4130575732219857,71950.8987,3.776147961616516,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 128, 1]",0.5646189656098354,1018.1797,0.14908819198608397,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 128, 5]",0.41759097339913503,4372.1225,0.3043612241744995,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 128, 10]",0.414012926565461,8340.7003,0.46597917079925544,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 128, 50]",0.4074292617656747,36957.3737,1.8243137359619144,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 256, 1]",0.5700472002712519,727.8494,0.11682941913604734,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 256, 5]",0.42903719156046516,2500.134,0.21551046371459964,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 256, 10]",0.41540380864874776,4608.8621,0.3070481061935425,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 256, 50]",0.4047825599778305,20123.7271,0.9788105726242067,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 512, 1]",0.6222728560918009,757.1222,0.09169890880584715,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 512, 5]",0.4367074481146875,1641.7507,0.1629577398300171,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 512, 10]",0.4194124879961539,2709.8592,0.21583404541015622,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 512, 50]",0.41158731463414094,10713.8974,0.570704483985901,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 1024, 1]",0.6527831194258366,1151.4497,0.07792518138885499,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 1024, 5]",0.44866325751979463,1569.015,0.1383231639862061,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 1024, 10]",0.4238539141340351,2080.4816,0.1709856510162354,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 1024, 50]",0.41099762592859707,6017.0269,0.3703622579574584,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 2048, 1]",0.7107581374910767,2123.5974,0.08116073608398436,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 2048, 5]",0.5002164968973062,2319.247,0.12074987888336183,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 2048, 10]",0.44067549533661077,2565.1212,0.15515234470367428,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 2048, 50]",0.41150552907865384,4469.0423,0.27937226295471185,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 4096, 1]",0.8531604930704494,4145.7229,0.10219995975494386,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 4096, 5]",0.5794791418743463,4240.6132,0.12312309741973879,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 4096, 10]",0.4917303553278346,4358.2385,0.15377411842346195,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 20, 4096, 50]",0.4143693195824909,5292.863,0.2616605043411254,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 32, 1]",0.4185463279831318,3325.6977,0.2743827581405639,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 32, 5]",0.3046319965852286,15938.8492,0.726104688644409,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 32, 10]",0.30419241517237694,30856.6267,1.3211687088012698,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 32, 50]",0.30601561732821797,88072.0,3.8712676286697394,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 64, 1]",0.42242191082811587,1734.9877,0.20785405635833737,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 64, 5]",0.3163409998669034,8188.7687,0.4800459146499634,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 64, 10]",0.3117912637012552,15963.3548,0.8018158197402951,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 64, 50]",0.3027084033830701,71970.8987,3.6536370515823364,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 128, 1]",0.45877112989704383,1038.1797,0.15887205600738524,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 128, 5]",0.3141109452610655,4392.1225,0.31436336040496826,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 128, 10]",0.30698859594555783,8360.7003,0.47797491550445564,3.839709997177124
aloi,test,0.001,ann-faiss,"{}_[320, 40, 128, 50]",0.30881231073240273,36977.3737,1.8394356489181516,3.839709997177124
