dataset,query_set,mu,algorithm,params,rel_err,samples,query_time,build_time
aloi,test,0.01,rsp,{}_1500,0.09242613855598777,1500.0,0.08775699138641357,0.030338287353515625
aloi,test,0.01,rsp,{}_1600,0.09099896588206469,1600.0,0.09348418712615965,0.030338287353515625
aloi,test,0.01,rsp,{}_1700,0.08685447068463764,1700.0,0.10009622573852539,0.030338287353515625
aloi,test,0.01,rsp,{}_1800,0.08511296173293331,1800.0,0.10569217205047605,0.030338287353515625
aloi,test,0.01,rsp,{}_1900,0.08449259442934226,1900.0,0.11177234649658205,0.030338287353515625
aloi,test,0.01,rsp,{}_2000,0.0797748844985921,2000.0,0.11744015216827394,0.030338287353515625
aloi,test,0.01,rsp,{}_3000,0.06501107758720032,3000.0,0.17668752670288082,0.030338287353515625
aloi,test,0.01,rsp,{}_4000,0.05642698171407056,4000.0,0.23548047542572018,0.030338287353515625
aloi,test,0.01,rsp,{}_5000,0.049966205748415794,5000.0,0.29493322372436526,0.030338287353515625
aloi,test,0.01,rsp,{}_6000,0.04643895867561828,6000.0,0.3558945894241334,0.030338287353515625
aloi,test,0.01,rsp,{}_7000,0.043100537873543274,7000.0,0.41594536304473884,0.030338287353515625
aloi,test,0.01,rsp,{}_8000,0.040051911909107736,8000.0,0.475421690940857,0.030338287353515625
aloi,test,0.01,rsp,{}_9000,0.037701955556327334,9000.0,0.5358646869659422,0.030338287353515625
aloi,test,0.01,rsp,{}_10000,0.03535682176535298,10000.0,0.5986231088638305,0.030338287353515625
aloi,test,0.01,rsp,{}_15000,0.0286479218659349,15000.0,0.9044359683990477,0.030338287353515625
aloi,test,0.01,rsp,{}_20000,0.02400694390939589,20000.0,1.219946527481079,0.030338287353515625
aloi,test,0.01,rsp,{}_50000,0.011191461394381538,50000.0,3.124463248252868,0.030338287353515625
